DEPT          TVD           GR      TAB_DEN      TAB_RES         ROP5         DCAV         CRPM         A34H         P16H         P28H         P34H         TNPH          PEF         DRHO         RHOB 
       4707.10000   4604.19690     82.59230      0.00000      0.00000     34.41970      9.82182     50.99820     96.63963      0.10000      0.10000      0.43796      5.32191    781.85130     -0.92226      2.40968
       4707.20000   4604.28677     81.06587      0.00000      0.00000     34.69217     10.45097     51.06728    200.00000      0.10000      0.10000      0.11669      5.25003    802.63090     -0.99862      2.34667
       4707.30000   4604.37664     79.53946      0.00000      0.00000     34.43655     11.45763     51.13634    200.00000      0.10000      0.10000      0.19539      5.18608    840.36720     -1.15038      2.21524
       4707.40000   4604.46651     78.18806      0.00000      0.00000     34.73482     11.93217     51.20541    200.00000      0.10000      0.10000      0.16580      5.24014    849.77010     -1.16677      2.18185
       4707.50000   4604.55638     77.16638      0.00000      0.00000     35.08012     11.99703     51.27449    200.00000      0.10000      0.10000      0.10000      5.30720    845.77970     -1.12412      2.19903
       4707.60000   4604.64625     77.42078      0.00000      0.00000     34.38481     11.20358     51.34356    200.00000      0.10000      0.10000      0.10000      5.16774    839.01280     -1.09347      2.24726
       4707.70000   4604.73611     78.16364      0.00000      0.00000     34.37436     10.50201     51.41262    200.00000      0.10000      0.10000      0.10000      5.10893    846.01340     -1.09950      2.22058
       4707.80000   4604.82598     79.18126      0.00000      0.00000     34.64947      9.90141     51.48170    200.00000      0.10000      0.10000      0.10000      5.06625    862.03940     -1.13054      2.15861
       4707.90000   4604.91585     80.19888      0.00000      0.00000     34.16494      9.67659     51.55077    200.00000      0.10000      0.10000      0.10000      4.80087    887.82870     -1.19504      2.14895
       4708.00000   4605.00572     81.36710      0.00000      0.00000     33.94724     10.07263     51.61984    122.34860      0.10000      0.10000      0.10000      4.86609    879.92710     -1.22164      2.13082
       4708.10000   4605.09559     82.53533      0.00000      0.00000     33.95280     10.79658     51.68891      0.10000      0.10000      0.10230      0.10000      5.13581    851.44230     -1.22369      2.11303
       4708.20000   4605.18546     82.28092      0.00000      0.00000     34.49796     10.15028     51.75798      0.10000      0.10000      0.13606      0.10000      5.08563    859.09080     -1.24717      2.17982
       4708.30000   4605.27533     81.88812      0.00000      0.00000     34.34691      9.91821     51.82705     71.45538      0.10000      0.14856    357.01970      5.39563    853.21750     -1.28333      2.21327
       4708.40000   4605.36520     81.37931      0.00000      0.00000     33.64758     10.02228     51.89612    200.00000      0.10083      0.14277    986.87790      5.99986    837.26680     -1.32961      2.21760
       4708.50000   4605.45507     80.87051      0.00000      0.00000     34.67915      9.58379     51.96519    200.00000      0.14239      0.11433    330.77560      6.22829    882.90570     -1.35025      2.16570
       4708.60000   4605.54494     79.98314      0.00000      0.00000     34.78139     10.02111     51.87343    200.00000      0.14272      0.10000      0.11654      6.48507    930.08910     -1.39428      2.08465
       4708.70000   4605.63481     78.71111      0.00000      0.00000     33.93932     11.34835     51.61826    200.00000      0.10116      0.10000      0.14989      6.77066    978.84200     -1.46206      1.97398
       4708.80000   4605.72468     78.92278      0.00000      0.00000     33.78432     11.45196     51.36308    200.00000      0.10000      0.10000      0.15082      6.65337    968.89100     -1.46278      1.97393
       4708.90000   4605.81455     78.15144      0.00000      0.00000     33.68111     11.59723     51.10790    141.23670      0.10000      0.10000      0.13588      6.46986    930.36350     -1.43975      2.03262
       4709.00000   4605.90442     76.11620      0.00000      0.00000     33.61736     11.83728     50.85273     10.06877      0.10000      0.10000      0.10253      6.21906    858.70940     -1.38985      2.15978
       4709.10000   4605.99428     74.08097      0.00000      0.00000     33.85702     11.06902     50.59755    121.29920      0.10000    606.33860    606.33860      5.97119    844.86520     -1.34424      2.29727
       4709.20000   4606.08415     72.35103      0.00000      0.00000     33.98468     10.69341     50.34237    147.53280      0.10000    737.55910    737.57190      5.71756    823.35610     -1.26979      2.40910
       4709.30000   4606.17402     71.07901      0.00000      0.00000     33.90689     11.03114     50.08720     16.36483      0.10000     81.45670     81.50173      5.45494    783.21720     -1.15156      2.48117
       4709.40000   4606.26389     69.36127      0.00000      0.00000     33.78403     10.76713     49.83202      0.10000      0.10000      0.10000      0.14903      5.20534    742.25160     -1.05955      2.61008
       4709.50000   4606.35376     68.56550      0.00000      0.00000     33.75481     10.59131     49.57684     46.27113      0.10000      0.10000      0.15341      5.01723    729.11520     -1.00467      2.63737
       4709.60000   4606.44363     69.58311      0.00000      0.00000     33.90973     10.73467     49.32167    177.43910      0.10000      0.10000      0.16585      4.93894    767.42530     -1.01128      2.46278
       4709.70000   4606.53350     70.60072      0.00000      0.00000     34.26037     10.04287     49.06649     91.39291      0.10000      0.16352    543.38380      4.85476    786.46950     -1.00602      2.40756
       4709.80000   4606.62337     71.54100      0.00000      0.00000     34.39023      9.64583     48.81131     39.97507      0.10000      0.19360    800.54490      4.79644    798.35140     -1.00584      2.37551
       4709.90000   4606.71324     72.30422      0.00000      0.00000     33.92152     10.32078     48.55614    171.14310      0.10000      0.11688    144.44250      4.80013    802.99760     -1.02293      2.33971
       4710.00000   4606.80311     72.67056      0.00000      0.00000     33.69205     10.71506     48.30096    200.00000      0.10000      0.10000      0.10000      4.75795    817.27060     -1.07763      2.30173
       4710.10000   4606.89298     72.85983      0.00000      0.00000     33.58653     10.95611     48.04579    200.00000      0.10000    168.06220    168.06220      4.67658    820.97960     -1.08478      2.28493
       4710.20000   4606.98285     72.85983      0.00000      0.00000     33.64507     10.98193     47.79061    200.00000      0.10000    824.16460    824.16460      4.51893    786.09560     -0.92296      2.33145
       4710.30000   4607.07272     72.85983      0.00000      0.00000     33.81049     11.49615     47.53543    200.00000      0.10000   1000.00000   1000.00000      4.56738    788.93460     -0.96120      2.31136
       4710.40000   4607.16259     73.28316      0.00000      0.00000     34.04609     12.15772     47.28026    172.71710      0.10000    863.53070    863.53070      4.65115    804.62410     -1.05250      2.27920
       4710.50000   4607.25246     75.31840      0.00000      0.00000     34.39991     12.69948     47.02508     41.54908      0.10000    207.42830    207.42830      4.58212    816.65660     -1.06689      2.29386
       4710.60000   4607.34233     77.35363      0.00000      0.00000     34.30754     11.74801     46.76991      0.60050      0.10000      0.10000      0.10000      4.75982    813.39890     -1.02664      2.30607
       4710.70000   4607.43220     79.38885      0.00000      0.00000     34.05846     10.34256     46.51473      1.21514      0.10000      0.10000      0.10000      4.99430    804.51080     -0.96934      2.31483
       4710.80000   4607.52207     81.42409      0.00000      0.00000     34.06878     10.17552     46.25955      1.21514      0.10000      0.10000      0.10000      4.92851    803.14870     -0.95496      2.31149
       4710.90000   4607.61194     82.16492      0.00000      0.00000     34.25444     10.24693     46.00438     84.17260      0.10000      0.10000      0.10000      4.73472    799.63200     -0.94408      2.31973
       4711.00000   4607.70181     81.66934      0.00000      0.00000     34.46809     10.36673     45.74920    200.00000      0.10000      0.10000      0.10000      4.93023    792.98860     -0.93476      2.34310
       4711.10000   4607.79168     77.24456      0.00000      0.00000     34.10790      9.78822     45.49402    200.00000      0.10000      0.10000      0.10000      8.79302    771.33390     -0.92188      2.43394
       4711.20000   4607.88155     74.28441      0.00000      0.00000     33.97280      9.21780     45.23885    200.00000      0.10000      0.10830      0.62188     10.48987    764.07390     -0.93983      2.50765
       4711.30000   4607.97142     72.32299      0.00000      0.00000     34.03356      8.66667     45.06745    200.00000      0.10000      0.12152      1.45264     10.68818    767.42320     -0.99746      2.55658
       4711.40000   4608.06129     69.95932      0.00000      0.00000     34.65250      8.31470     46.12129    200.00000      0.10000      0.12152      1.45270     11.16588    778.42430     -1.31967      2.41871
       4711.50000   4608.15116     68.40789      0.00000      0.00000     34.74298      7.96274     47.17514    200.00000      0.10000      0.20686      1.15697     11.66585    781.01280     -1.42573      2.36339
       4711.60000   4608.24103     67.54836      0.00000      0.00000     34.39524      7.61078     48.22898    200.00000      0.10000      0.35960     11.11022     12.18109    777.65750     -1.34923      2.37482
       4711.70000   4608.33090     66.68885      0.00000      0.00000     34.78112      7.25881     49.28283    200.00000      0.10000      0.18745    666.87270     12.46912    849.49980     -1.36982      2.16671
       4711.80000   4608.42077     70.79819      0.00000      0.00000     34.88397      6.90685     50.33667    200.00000      0.10000      0.10000    677.20170     12.64472    743.66410     -1.15026      2.05981
       4711.90000   4608.51064     80.03800      0.00000      0.00000     34.69459      6.55489     51.39052    200.00000      0.10000      0.10000     21.10746     12.70425    454.37230     -0.68275      2.05738
       4712.00000   4608.60052     92.18985      0.00000      0.00000     34.33288      6.20292     52.44437    200.00000      0.10000      0.10000      0.11245     11.41277    165.08060     -0.21523      2.05496
       4712.10000   4608.69039    101.86200      0.00000      0.00000     34.20789      6.25438     53.49821    200.00000      0.10000      0.10000      0.10882     10.25070      3.92245      0.15533      2.13229
       4712.20000   4608.78026    108.30840      0.00000      0.00000     34.38648      6.81101     54.55206    200.00000      0.10000      0.10000      0.10065      9.30659      3.22001      0.40449      2.30948
       4712.30000   4608.87013    114.75480      0.00000      0.00000     34.35184      6.86967     55.60590    200.00000     97.24570    603.71420      8.99736      8.80159      3.12044      0.41890      2.29062
       4712.40000   4608.96000    121.03100      0.00000      0.00000     34.66461      6.90443     56.65975    200.00000    134.05010    740.23010     11.00893      8.57631      3.07661      0.43341      2.28857
       4712.50000   4609.04987    127.04760      0.00000      0.00000     35.53554      6.96877     57.71359    200.00000     65.93430     84.24548      1.33789      8.71944      3.03784      0.47919      2.33813
       4712.60000   4609.13974    131.56520      0.00000      0.00000     37.10915      6.82162     58.76744    200.00000     57.21547    572.29800     20.63038      9.13600      3.07113      0.41722      2.34644
       4712.70000   4609.22961    134.51680      0.00000      0.00000     38.51616      6.62820     59.82129    156.42520     45.96767   1000.00000    256.11140      9.70913      3.06692      0.33383      2.35605
       4712.80000   4609.31948    134.94650      0.00000      0.00000     39.41780      6.40628     60.87513     31.21029     13.64642   1000.00000    888.66970     10.50040      2.97264      0.23993      2.37946
       4712.90000   4609.40935    135.37630      0.00000      0.00000     41.07101      6.21379     61.92897    112.34960    209.80600    504.98590    473.02870     10.32052      3.03571      0.15776      2.43815
       4713.00000   4609.49922    135.67710      0.00000      0.00000     42.98650      6.06031     62.98282    200.00000    310.65030     74.11797     25.99647      9.86033      3.05316      0.09128      2.50356
       4713.10000   4609.58909    135.67710      0.00000      0.00000     45.13943      5.98319     64.03667    200.00000     75.22134     39.63039     28.12161      9.23009      2.88574      0.05557      2.56706
       4713.20000   4609.67896    134.34320      0.00000      0.00000     47.33564      5.96727     65.09052    200.00000     22.48527     31.90517     28.59764      8.32004      2.79195      0.04876      2.59598
       4713.30000   4609.76883    132.73240      0.00000      0.00000     49.67238      5.97161     66.14436    200.00000     22.29725     30.89842     28.40279      7.50538      2.67532      0.05180      2.61694
       4713.40000   4609.85870    131.44310      0.00000      0.00000     52.38914      5.98367     67.19820    200.00000     21.55113     26.90340     27.62961      7.21360      2.42786      0.05929      2.64391
       4713.50000   4609.94857    130.15390      0.00000      0.00000     55.44002      5.98916     68.25204    200.00000     22.12730     26.41672     27.83349      6.74169      2.30686      0.06271      2.65545
       4713.60000   4610.03845    127.94400      0.00000      0.00000     59.01582      5.99304     69.30589    196.11770     23.00185     27.06352     28.29556      6.29843      2.31037      0.06509      2.66154
       4713.70000   4610.12832    122.14230      0.00000      0.00000     64.15269      6.00024     70.35974    177.08690     23.11296     27.01836     28.34060      6.22957      2.61529      0.06938      2.66882
       4713.80000   4610.21819    117.80170      0.00000      0.00000     68.07680      5.98735     71.41358    170.99710     23.14852     27.00391     28.35501      6.10628      2.84098      0.06167      2.65098
       4713.90000   4610.30806    114.71870      0.00000      0.00000     71.29512      5.96707     72.46743    173.96590     23.34405     27.10555     28.38344      6.00621      3.03648      0.04952      2.62253
       4714.00000   4610.39793    114.71870      0.00000      0.00000     73.78261      5.95787     73.52128    192.99670     24.59743     27.75710     28.56565      6.17041      3.27035      0.04395      2.60059
       4714.10000   4610.48780    114.71870      0.00000      0.00000     74.87228      5.95217     74.57512    180.00010     26.30021     29.40102     29.34385      6.11236      3.32651      0.04047      2.58433
       4714.20000   4610.57767    115.18280      0.00000      0.00000     75.23639      5.95059     75.62897    150.38780     28.06296     31.45479     30.41472      5.96119      3.27348      0.03937      2.57400
       4714.30000   4610.66754    119.48040      0.00000      0.00000     76.33017      5.96621     76.68282    137.56770     28.15972     32.12104     31.03676      6.10974      3.17339      0.04788      2.58523
       4714.40000   4610.75741    122.52310      0.00000      0.00000     76.12061      5.98337     77.73666    132.23460     28.19997     32.39819     31.29552      6.14632      3.04869      0.05763      2.60357
       4714.50000   4610.84728    124.41400      0.00000      0.00000     75.07315      6.00012     78.79050    133.52790     28.01886     32.29181     31.29553      6.11485      2.91304      0.06739      2.62506
       4714.60000   4610.93716    122.26520      0.00000      0.00000     75.44370      5.99313     79.84435    155.08310     25.00041     30.51882     31.29565      6.26681      2.88045      0.06327      2.61627
       4714.70000   4611.02703    120.80750      0.00000      0.00000     75.81497      5.97915     80.89819    177.36460     24.67357     31.39213     33.26793      6.30142      2.81777      0.05545      2.60624
       4714.80000   4611.11690    119.94800      0.00000      0.00000     76.19392      5.95926     81.95204    200.00000     26.68715     34.53896     36.92070      6.23613      2.73026      0.04450      2.59524
       4714.90000   4611.20677    119.08840      0.00000      0.00000     77.15385      5.94996     83.00588    200.00000     29.55482     36.25893     38.37008      6.30921      2.74327      0.03952      2.59240
       4715.00000   4611.29664    118.22890      0.00000      0.00000     77.14304      5.94679     84.05973    200.00000     31.02306     37.13956     39.11217      6.31144      2.75087      0.03790      2.59424
       4715.10000   4611.38651    117.36940      0.00000      0.00000     76.11372      5.95007     85.11358    200.00000     31.02306     37.13956     39.11217      6.23931      2.75281      0.03980      2.60099
       4715.20000   4611.47638    119.20280      0.00000      0.00000     74.78042      5.95223     86.16742    200.00000     29.75144     36.17974     39.98556      6.21889      2.79282      0.04117      2.60930
       4715.30000   4611.56625    121.46760      0.00000      0.00000     74.98238      5.94983     87.22127    200.00000     30.16567     35.68495     38.97731      6.20326      2.80422      0.03993      2.61031
       4715.40000   4611.65613    124.15360      0.00000      0.00000     77.15274      5.94170     88.27512    200.00000     32.78598     35.82761     35.53273      6.19127      2.77739      0.03538      2.60195
       4715.50000   4611.74600    126.83960      0.00000      0.00000     76.48340      5.93719     89.32896    200.00000     31.12160     34.07609     34.08522      6.24845      2.76480      0.03292      2.59870
       4715.60000   4611.83587    129.52560      0.00000      0.00000     76.02740      5.93984     90.38280    200.00000     29.87077     32.90555     33.31649      6.30064      2.79471      0.03438      2.60035
       4715.70000   4611.92574    132.21150      0.00000      0.00000     76.30619      5.95311     91.43665    200.00000     29.87077     32.90555     33.31649      6.33523      2.88855      0.04164      2.60890
       4715.80000   4612.01561    133.15670      0.00000      0.00000     75.19004      5.96118     92.49049    200.00000     28.03793     32.11176     32.90233      6.49370      2.86354      0.04599      2.61101
       4715.90000   4612.10548    133.19650      0.00000      0.00000     74.74908      5.96849     93.54434    200.00000     26.47708     31.64074     33.05962      6.65505      2.85196      0.04997      2.61331
       4716.00000   4612.19535    132.01470      0.00000      0.00000     76.00024      5.97587     94.59819    200.00000     25.96642     32.01546     34.42675      6.78596      2.90042      0.05408      2.61785
       4716.10000   4612.28523    131.65520      0.00000      0.00000     75.29896      5.97321     95.65203    200.00000     23.56638     30.43394     33.04648      6.80577      2.86319      0.05226      2.60626
       4716.20000   4612.37510    131.67750      0.00000      0.00000     74.59616      5.97029     96.70588    200.00000     21.58478     29.01824     31.65020      6.80420      2.83465      0.05030      2.59441
       4716.30000   4612.46497    132.17890      0.00000      0.00000     74.90913      5.97197     97.75972    200.00000     21.58478     29.01824     31.65020      6.80980      2.87151      0.05105      2.59039
